Tecrübe,Askerlik-Durumu,Departman,pozisyon,sehir,firma,metin,b_sayisi,g_sayisi,sure
En az 2 yıl tecrübeli adaylar,NaN,Pazarlama,CRM Uzmanı,İstanbul(Asya)(Üsküdar),Yıldız Holding,"GENEL NİTELİKLER VE İŞ TANIMI
Türkiye'nin en büyük ve hızlı büyüyen gruplarından Yıldız Holding, hızlı tüketim ürünlerinin satış ve pazarlanmasında faaliyet gösteren şirketi Bizim Toptan Satış Mağazaları A.Ş.'de görevlendirilmek üzere 'Müşteri İlişkileri Uzmanı‘ aramaktadır. Pozisyon ile ilgili kısa görev tanımı ve uygun adayların taşıması gereken özellikler aşağıda yer almaktadır.

Kalitatif ve Kantitatif araştırmalar ile müşteriler hakkında detaylı tespitler yapılarak “Müşteri İç Görüsünün”    oluşturulması
Müşteri potansiyeli ile ilgili analizlerin yapılarak müşteri haritasının hazırlanması ve müşteri uzayının tespiti
Müşteri iç görüsü ve potansiyeli paralelinde stratejik planların hazırlanması
CRM alt yapısının geliştirilmesi
Mevcut müşterilerin alım alışkanlarının incelenerek, müşteri değer ve davranış segmentasyonun yapılması,
Müşterilerin ürün tercih eğilimleri, churn ihtimali vb. analizlerin yapılması
Yeni müşteri kazanımı ve mevcut müşterileri elde tutmaya yönelik CRM aksiyonlarının oluşturulması uygulanması ve sonuçlarının takibi

GENEL NİTELİKLER
Üniversitelerin tercihen İstatistik, Matematik, Endüstri Mühendisliği vb. bölümlerinden mezun
Benzer pozisyonda minumun 2 yıl deneyim sahibi
Detaycı, analitik ve sonuç odaklı çalışabilen
IBM SPSS Modeler veya benzeri araçlarla istatistiksel modelleme yapabilme yetkinliğine sahip
İkna etme ve müzakere yeteneği gelişmiş
Etkin iletişim ve temsil yeteneği bulunan",500-750,3576,80
En az 3 yıl tecrübeli adaylar,NaN,Bilgi Teknolojileri / IT,İş Zekası Danışmanı - Ibm Cognos,İstanbul(Asya)(Ataşehir),Smartiks Yazılım A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin 4 yıllık Mühendislik, İstatistik, Matematik fakültelerinden mezun,
İş Zekası konusunda en az 3 sene tecrübeli,
IBM Cognos BI ürününde tecrübe sahibi ve bu ürünle gerçekleştirilen projelerde görev almış,
İyi  derecede SQL bilgisine sahip,
Araştırmacı ve yenilikçi bir yaklaşım gösterebilen,
Takım çalışmasına yatkın,
Hızlı öğrenme yeteneğine sahip,
Çözüm odaklı,
Verimli çalışabilen,
Sorumluluk sahibi,
Erkek adaylar için askerlik hizmetini tamamlamış

İŞ TANIMI
Müşteri rapor ihtiyacının analiz edilmesi,
Raporların geliştirilmesi, test edilmesi, güncellenmesi,
Üretilen raporların sorunsuz ve hızlı bir şekilde çalışmasının sağlanması.

Kariyerini, İş zekası çözümleri alanında geliştirmiş ve ilerletmek isteyen ekip arkadaşları arıyoruz.",200-300,2097,3
En az 1 yıl tecrübeli adaylar,Yapıldı,Planlama,Üretim Planlama Mühendisi,İstanbul(Avr.)(Bağcılar),HASNET ETİKET AMBALAJ SANAYİ VE TİCARET A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin Endüstri Mühendisliği, Matematik veya İstatistik bölümlerinden mezun,
Üretim Planlama alanında en az 1 yıl deneyimli,
İletişim kabiliyeti güçlü, ekip çalışmasına yatkın,
Planlama, koordine etme, ilişki yönetimi, iş disiplini, stres yönetimi ve raporlama yeteneklerine sahip,
Analitik düşünen, gelişime açık,
İyi derecede yazılı ve sözlü İngilizce bilgisi olan,
MS Office programlarını etkin kullanabilen, tercihen ileri seviyede Excel bilgisi olan,
Kalite ve belgelendirme konusunda bilgi sahibi,
Erkek adaylar için askerlik ile ilişiği bulunmayan,
Avrupa Yakası’nda ikamet eden, / edebilecek,
""Üretim Planlama Mühendisi"" arayışımız bulunmaktadır.


İŞ TANIMI
Satış dağıtım belgelerinin oluşturulması, siparişe yönelik hammadde ve malzeme organizasyonu yapılması,
Üretim makinelerinin özellik ve kapasitelerine göre üretim ön hazırlığı yapılması ve üretim programının oluşturulması,
Haftalık termin bildiriminin hazırlanması ve raporlanması,
Siparişlerin doğru zamanda ve yerde üretilmesi için satış, planlama ,satın alma ve üretim koordinasyonunun sağlanması.",200-300,1384,9
En az 2 yıl tecrübeli adaylar,NaN,Mühendislik,Kimya Mühendisi,Balıkesir,ALBAYRAK HOLDİNG A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Albayrak Grubu bünyesinde faaliyet gösteren Varaka Kağıt A.Ş. şirketimizin Balıkesir lokasyonunda, görevlendirilmek üzere;
Üretim aşamasındaki bileşenlerini analiz etmek ve gereksinimlere uygun tasarımlar oluşturmak,
Üretim süreçleri ve diğer ilgi alanlarıyla ilgili sorunları saptamaya, tanımlamaya ve çözmeye çalışmak,
İş süreçlerini takip edecek, yönetecek ve raporlayacak,
Kimyasal proses işletme ve bakım süreçlerini denetleyecek,
aşağıda belirtilen niteliklere sahip takım arkadaşı arıyoruz.
Üniversitelerin Kimya Mühendisliği bölümünden mezun,
Benzer görevlerde en az 2 sene deneyim sahibi olan,
Termik santrallerde veya endrüstriyel tesislerde su arıtma sistemlerinde deneyimli,
Kimyasal proses işletme ve bakım deneyimine sahip olan,
Ters osmoz, su arıtma ve membran sistemleri hakkında tecrübe sahibi,
Laboratuvar cihazlarının kullanım bilgisine sahip, su analizi, kömür analizi ve yağ analizleri konusunda deneyimli,
MS Office programlarını kullanabilen,
Raporlama analiz ve istatistik bilgisine sahip olan,
Tercihen İngilizce bilen
Takım çalışmasına yatkın,
Dinamik sorumluluk sahibi, sabırlı, iletişim becerisi gelişmiş,
Çözüm odaklı, proaktif olan ve analitik düşünebilen,
Askerlik ile ilişiği olmayan,
“Kimya Mühendisi” alınacaktır.",500-750,6144,89
Tecrübeli ya da tecrübesiz adaylar,Yapıldı,Planlama,Ürün Planlama ve Alokasyon Uzmanı/Uzman Yardımcısı,İstanbul(Avr.)(Şişli),Deha Mağazacılık Ev Tekstili Ürünleri San. Tic. A.ş,"GENEL NİTELİKLER VE İŞ TANIMI
Perakende Sektöründe yurt içinde 248, yurt dışında 46 mağazasıyla Türkiye’nin en başarılı “Ev Tekstili & Dekorasyon Ürünleri” markası olan ve dünya markası olma yolunda yurtdışında büyüyen Madame Coco firmamızın Mecidiyeköy’de bulunan Genel Merkezinde Planlama Direktörlüğü'nde görevlendirilmek üzere  ""Ürün Planlama ve Alokasyon Uzmanı/Uzman Yardımcısı"" arıyoruz.
GENEL NİTELİKLER
Üniversitelerin Endüstri Mühendisliği, Tekstil Mühendisliği, İstatistik, İşletme veya İktisat bölümlerinden mezun,
İleri seviyede Excel becerisine sahip ve raporlama konusunda deneyimli,
Perakende sektöründe planlama konusunda minimum 2 yıl tecrübeli,
İleri derecede ingilizce bilen,
Tercihen Nebim V3 kullanabilen,
Kişilerarası ilişkileri güçlü,takım çalışmasına yatkın,
Sistem, süreç geliştirmeye meraklı ve istekli,
Disiplinli, detaylı ve planlı çalışabilen,
Problem çözme ve karar alma becerisi gelişmiş,
Tercihen Avrupa yakasında ikamet eden,
Erkek adaylar için askerlik hizmetini tamamlamış.


İŞ TANIMI
Kategori bazlı satınalma bütçesinin oluşturulması,
Fiyat matriksi, asorti planları, indirim yönetiminin yapılması,
Stok satış raporlarının hazırlanıp yorumlanması ve gerekli aksiyonların alınması.",1000-1500,4927,77
3 - 7 yıl tecrübeli adaylar,NaN,Denetim/Teftiş,Deneyimli Müfettiş,"İstanbul(Avr.), İstanbul(Asya)",Akbank,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin, örgün lisans eğitimi veren fakültelerinin, Hukuk, Siyasal Bilgiler, İktisat, İşletme,  İstatistik ve Matematik bölümleri, bankacılık ve finans Bölümleri veya mühendislik bölümlerinden mezun
Banka veya denetim firmalarında ez az 3 yıl deneyimli
Bankacılık ürün ve hizmetleri hakkında detaylı bilgi sahibi olan
Tercihen profesyonel mesleki sertifikalara (CIA, CFE, CFSA, SMMM) ve/veya SPK İleri Düzey Lisansı’na sahip
Çok iyi derecede İngilizce bilen

Ne iş yapar?
  Şubelerde, Genel Müdürlük’te ve/veya Bankanın denetimine tabi kuruluşlarında teftiş, inceleme ve gerektiğinde soruşturma çalışmaları gerçekleştirir",300-500,3860,49
Tecrübeli ya da tecrübesiz adaylar,Yapıldı,Satış ve Pazarlama,Devre Mülk İdari Personeli,Tekirdağ(Saray),Hattuşa Vacation Thermal Club Saray Park,"GENEL NİTELİKLER VE İŞ TANIMI
Altı farklı ilde, altı tesisimizle Turizm sektöründe hizmet sağlamaktayız. 

Hattuşa Vacation Thermal Club Otel zincirlerimizin, Tekirdağ-Saray' da bulunan merkez ofisi için,
Üniversitelerin Mühendislik Fakültesinden ve ya İşletme İktisat Ekonomi ve İstatistik Bölümlerinden mezun olan,
Seyahat engeli bulunmayan,
Çözüm ve sonuç odaklı,
Bilgisayar konularına hakim,
Ofis programlarına hakim,
Analitik düşünce tarzına sahip,
Vardiyalı çalışma saatlerine uyum sağlayabilecek,
Kariyer hedefi olan,
Liderlik ruhuna sahip, Ekip yönetebilecek kapasitede olan,
Kişisel iletişimi düzgün,
Erkek Adaylar, Bekar,
Tekirdağ-Saray ve Kapaklı'da ikamet eden, (Servis İmkanımız bulunmamaktadır)
Kısa sürede alım gerçekleştirilecektir. Lütfen işe başlama sürenizle ilgili ön yazınızda bizleri bilgilendiriniz.

İŞ TANIMI
Devre mülk ve devre tatil sözleşmelerinin bilgisayar otomasyonuna kaydedilmesi ve döküm alınması.
Satış pazarlama faaliyetleri için gerekli evrak ve argümanların hazırlanması.
Günlük ve aylık satış ve tahsilat raporlarının hazırlanması ve ilgili amirlere iletilmesi.
Sözleşmelerin kaydından, imzalanıp dijital ortama taranıp ilgili departmana iletilmesine kadar sürecin takibi ve sorumluluğu.
Sözleşmelerin ve senetlerin gerekli durumlarda zeyil - değişiklik işlemlerinin yapılması.
Acentelerin satış, tahsilat ve performans raporlamalarının yapılması.
Acente hakedişlerinin aylık bazda hazırlanıp ilgili departmanların bilgilendirilmesi.
İhtiyaç halinde diğer departmanların ve ilgili amirlerin talep ettiği raporlamaların yapılması, istatistik çıkarılması.
Diğer departmanlarla ve diğer tesislerimizdeki ilgili departmanlarla koordinasyon halinde çalışıp gerekli veri akışının sağlanması.
Kıymetli evrakların ilgili birim, kurum veya acentelere teslim edilmesi, teslim alınması ve muhafazası.",200-300,2545,5
En çok 10 yıl tecrübeli adaylar,"Yapıldı, Muaf",Yönetim,Mağaza Müdürü,Samsun,Beren İletişim,"GENEL NİTELİKLER VE İŞ TANIMI
Turkcell İletişim Merkezi'nde çalışmak üzere;

Mağaza yönetiminde deneyimli
En az lise mezunu, Tercihen üniversite mezunu,
MS Office uygulamalarına hakim,
Liderlik vasıflarına sahip,
Esnek çalışma saatlerine uyum gösterebilecek,
Teknolojik gelişmeleri yakından takip eden,
Satış ve müşteri odaklı, Öğrenmeye açık, dinamik çalışma ortamına ayak uydurabilen,
Analitik yönü kuvvetli,istatistik verilere hakim ve çözüm odaklı.
Perakende sektörü ve mağaza yöneticiliği alanında en az 1-2 yıl deneyime sahip.

   MAAŞ +PRİM+TİCKET+SİGORTA+ÖZEL SAĞLIK SİGORTASI
 

İŞ TANIMI
Mağaza stratejilerinin verimli ve hızlı bir şekilde uygulanması,
Belirlenen hedeflerin zamanında gerçekleşmesinin takibi ve ekip performansının yönetilmesi,
Mağaza stok takibi ve lojistik işlemlerinin yürütülmesi,
Ürünlerin tanıtım, satış ve operasyonel işlemlerinin yönetilmesi,
Mağaza mali ve idari işlerinin takibi ve yönetiminin sağlanması,
Mağaza denetim ve kontrol çalışmalarının yürütülmesi.
  ",1000-1500,9466,4
Tecrübeli ya da tecrübesiz adaylar,NaN,Müşteri Hizmetleri / Çağrı Merkezi,Tahsilat Performansı Yönetimi ve Planlama Uzmanı,İstanbul(Avr.),Fibabanka A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin Mühendislik, Matematik ve İstatistik bölümlerinden mezun,
En az 2 yıl performans yönetimi raporlaması ve planlama deneyimi olan,
Self-servis raporlama araçları tecrübesi olan (özellikle Power BI),
MS Office programlarını iyi derecede kullanabilen,
Tercihen SQL bilgisine sahip olan,
Tercihen iyi derecede İngilizce bilen,
Analitik ve stratejik düşünce yapısına sahip,
Sınırları zorlayan, cesur ve açık fikirli,
Organizasyon, iletişim ve sunum becerisine sahip.

İş Tanımı
Self-servis raporlama araçları ile tahsilat ekibi raporlarını oluşturmak ve aksiyon alanlarını tespit etmek,
Banka tahsilat ekibinin verimliliğinin ve tahsilat performansının etkin bir şekilde yönetilmesi için analiz çalışmalarını yapmak,
Veri Ofisi ile yapılan çalışmalarda veri, rapor ve analiz ihtiyaçlarını belirlemek, koordine etmek ve uygulamak,
Tahsilat ekibi performans hesaplamalarının ve prim sisteminin takibini yapmak,
Tahsilat ile ilgili süreç ve geliştirme projelerinin tasarlamak ve hayata geçirmek.",750-1000,6746,47
1 - 3 yıl tecrübeli adaylar,NaN,Risk Yönetimi,Piyasa Riski Yetkilisi,İstanbul(Avr.),TURKLANDBANK,"GENEL NİTELİKLER VE İŞ TANIMI
Kurumu değerli kılanın çalışanları olduğuna inanan,
Kendi yöneticilerini yetiştirmeyi hedefleyen ve önemli eğitim yatırımları gerçekleştiren,
Butik yapılanma sayesinde verimli iş süreçlerini ve etkin kurum içi iletişimi yakalamış, 
Sosyal etkinlikler ile iş dışında da birbirine bağlı,
Deneyimli, uzmanlaşmış, aynı zamanda dinamik bir ekibin parçası olmak istiyorsanız,
Bize katılın!
T-Bank olarak biz; Türkiye’nin ticaret ve sanayi açısından öncü bölgelerindeki şubelerimizde, hissedarlarımız Arab Bank ve BankMed’in 90 yıla yaklaşan bankacılık deneyiminin desteği ve kurumsal&ticari bankacılık ile perakende bankacılık iş kollarında uzmanlaşmış çalışanlarımız ile müşterilerimizin ihtiyaçlarına zamanında ve özel çözümler üretiyoruz.
Şişli'de bulunan Genel Müdürlüğümüzde, Piyasa Riski Yetkilisi olarak görev alacak yeni çalışma arkadaşımızı arıyoruz.
Aranılan Yetkinlikler :
Üniversitelerin Finansal Mühendislik, Finansal Matematik, Ekonomi, Ekonometri, İstatistik vb. Bölümlerinden mezun,
Bankaların Piyasa Riski (raporlama ve risk analitiği) konusunda 1-3 yıl deneyimli,
Çok iyi derecede İngilizce bilen,
Yoğun iş temposuna ayak uydurabilen,
Tercihen Sermaye Piyasası Faaliyetleri Düzey 3 Lisansı ve  Türev Araçlar Lisansları olan,
MS Office uygulamalarını ileri düzeyde kullanabilen,
Basel II / Basel III / CRD kriterleri ve uygulamaları hakkında bilgi sahibi,
Detaylı araştırma, veri analizi ve raporlama yapabilen,
Ekip çalışmasına yatkın, analitik düşünme ve problem çözme yeteneğine sahip,

İş Tanımı :
Piyasa ve likidite riski konusunda risklerin ölçümü, kurum içi ve kurum dışı raporlamasını yapmak,
Bankanın portföyleri için günlük olarak gerekli piyasa riski ölçümlemelerini ve değerlendirmelerini yaparak ilgili raporlamaları hazırlamak,
Yönetim Kurulu tarafından belirlenmiş piyasa risk limitlerini takip etmek ve raporlamak,
Söz konusu risklere ilişkin stres testi ve senaryo analizlerini hazırlamak,
Konusuyla ilgili yasal ve uluslararası mevzuatı yakından takip etmek,
Bankanın piyasa/likidite risk politikasının takibi ve gerekli güncellemelerin yapılmasına katkı sağlamak,
Risk yönetimi teknik ve uygulamaları konusundaki gelişmeleri izlemek ve uygulanabilirlikleri konusunda araştırma yapmak,
Yönetim Kurulu ve/veya Denetim Komitesi tarafından piyasa riskine ilişkin talepleri karşılamak ve analizleri hazırlamak, 
ISEDES raporunun hazırlanma sürecinde aktif rol almak.",100-200,789,5
En az 1 yıl tecrübeli adaylar,NaN,Bilgi Teknolojileri / IT,İş Zekası Uzmanı,İstanbul(Avr.)(Bağcılar),Taha Giyim San. Ve Tic. A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
LCWaikiki markası ile Türkiye’nin en değerli markalar sıralamasında “Hazır Giyim ve Mağazacılık” sektöründe 1. sırada yer alan şirketimiz, yaklaşık 10 Milyar $ ciro hedefi, 45 ülkede 42.000’i aşkın çalışanı ve yurtiçi ve yurtdışı olmak üzere toplamda 900’ün üzerinde mağazası ile Türkiye’nin en büyük gruplarından birisi olarak hızla büyüyor. 
 2023 yılında Avrupa’nın en başarılı üç giyim perakendecisinden biri olma vizyonumuzu gerçekleştirmek üzere hızla büyüyen grubumuzunLaboratuvar İşletme Müdürlüğünde birlikte çalışmak üzere ""İŞ ZEKASI UZMANI"" olarak aramıza katılacak ekip arkadaşımızı arıyoruz.
Üniversitelerin Mühendislik fakültelerinden mezun (Tercihen, Endüstri, Matematik, Bilgisayar, İstatistik),Benzer görevlerde minimum 1 yıl deneyim sahibi,,
Tercihen iyi seviyede İngilizce bilen
Tercihen Machine Learning, Yapay Zekâ, Veri Madenciliği teknikleri hakkında bilgi sahibi,
Tercihen SQL, Python, R dillerinden herhangi biri ya da birkaçı hakkında bilgi sahibi,
Veri analizi, veri görselleştirme konularında pratiği olan,
Problem çözme ve çözüm üretme yetkinliklerine sahip,
Öğrenme ve gelişime açık,
Ekip çalışmasına yatkın, sonuç odaklı,
İŞ TANIMI
İş birimlerinin analiz edebileceği Karar Destek Sistemleri (raporlar, dashboardlar vb.) geliştirmek,
Metrikler/süreçler üzerinde kök neden analizleri yapabilmek
Şirketin iç süreçlerindeki performans metriklerini izlenebilir hale getirmek,
Farklı iş zekâsı araçlarını kullanarak iş birimlerinin büyük veri analizleri yapmalarına imkân tanıyan sistemler geliştirmek,
Global ölçekte iş zekâsı alanındaki değişimleri takip etmek, yeni teknolojileri araştırmak ve sisteme adapte etmek,
İş birimlerinin ihtiyaçlarına analitik yöntemler kullanarak çözüm üretmek,
Laboratuvar genelinde sürdürülebilir iş zekâsı sistemleri kurmak ve geliştirmek,
Laboratuvar ekiplerinin Karar Destek Platformlarını geliştirmek",100-200,1057,17
En az 1 yıl tecrübeli adaylar,NaN,Planlama,Medya Planlama Uzmanı,İstanbul(Avr.),GroupM Medya Hizmetleri Ltd. Şti.,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin tercihen Matematik, İstatistik, Ekonometri veya İşletme bölümlerinden mezun,
Medya planlama konusunda minimum 1 yıllık iş deneyimi olan,
Veri yönetme ve raporlama becerileri gelişmiş,
Sonuç odaklı çalışma disiplinine sahip,
Kişisel iletişim becerileri gelişmiş,
Analitik ve sistematik düşünce yapısına sahip,
Takip ve süreç izleme yeteneği gelişmiş,
Ekip çalışmasına yatkın,
Kişisel farkındalığı yüksek,
Sürekli gelişime açık,
İyi seviyede İngilizce bilen,
İleri düzeyde MS Office program bilgisine sahip.


İŞ TANIMI
Sorumluluğundaki markanın tüm TV planlama süreçlerinin yürütülmesi,
Planların performanslarını günlük & düzenli takip edilerek hedeflenen değerlere ulaşmak için gerekli revizyonların yapılması,
Müşteri ile ilgili tüm operasyonel süreçte (materyal takibi, vb) ilgili yöneticiye destek verilmesi,
Raporlama süreçlerinin eksiksiz bir şekilde gerçekleştirilmesi,",200-300,1574,27
